id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
agy_m_2591167_1,11,10,0.688850,3.610778,1.000000,1.804721,0.035391,9.000000,22.900000,0
agy_m_2591167_1,12,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
ahmed_j_10745476_1,0,18,0.390915,2.890434,0.600000,1.556939,0.015617,9.000000,35.900000,1
aikawa_m_14044306_5,0,3,0.444444,1.627876,1.000000,1.800000,0.093682,2.000000,6.666667,0
aikawa_m_14044306_5,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aikawa_m_14044306_5,9,1,0.000000,0.000000,1.000000,0.000000,0.076923,0.000000,2.000000,0
aikawa_m_14044306_5,10,24,0.208639,2.418522,1.000000,1.131899,0.014609,4.000000,23.222222,0
aikawa_m_14044306_5,11,8,0.361111,2.236017,1.000000,1.464286,0.041667,3.250000,12.250000,0
aikawa_m_14044306_5,12,9,0.222222,1.889222,1.000000,1.277778,0.034483,2.222222,12.222222,0
aikawa_m_14044306_5,13,6,0.678571,2.704727,1.000000,1.916667,0.061111,5.000000,12.500000,0
aikawa_m_14044306_5,14,6,0.400000,1.953451,0.500000,1.520000,0.037037,2.400000,8.400000,0
aikawa_m_14044306_5,15,12,0.257882,1.686290,1.000000,1.044102,0.016242,3.000000,14.750000,0
aikawa_m_14044306_5,16,4,0.507692,1.924854,1.000000,1.844697,0.074592,3.000000,10.000000,1
